City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,las lomas,8.4333,8.4333,80.01,78.39,100,13.0,PA,1694129317
1,invercargill,-46.4,-46.4,56.53,56.53,47,5.88,NZ,1694129197
2,eureka,40.8021,40.8021,80.74,63.21,31,5.01,US,1694129318
3,balabac,7.9868,7.9868,79.56,79.56,100,8.46,PH,1694129318
4,strazhitsa,43.2333,43.2333,57.0,57.0,92,2.48,BG,1694129319
5,saudarkrokur,65.7461,65.7461,52.02,52.02,100,13.11,IS,1694129319
6,port-aux-francais,-49.35,-49.35,38.03,38.03,100,42.19,TF,1694129183
7,happy valley-goose bay,53.3168,53.3168,44.91,44.91,100,18.41,CA,1694129320
8,margate,51.3813,51.3813,65.3,64.69,30,3.0,GB,1694128932
9,ushuaia,-54.8,-54.8,40.66,40.66,75,8.05,AR,1694129321
10,jamestown,42.097,42.097,70.02,69.44,75,4.61,US,1694129322
11,udachny,66.4167,66.4167,32.45,32.45,99,7.4,RU,1694129203
12,hamilton,39.1834,39.1834,75.83,71.35,75,9.22,US,1694129290
13,port blair,11.6667,11.6667,78.84,78.84,75,2.3,IN,1694129324
14,adamstown,-25.066,-25.066,65.73,65.73,100,16.24,PN,1694129187
15,badger,64.8,64.8,52.0,48.38,75,3.44,US,1694129325
16,james city,35.0888,35.0888,84.04,82.0,9,8.81,US,1694129325
17,nagqu,31.5,31.5,34.52,34.52,97,3.69,CN,1694129325
18,pariaman,-0.619,-0.619,75.25,75.25,100,3.51,ID,1694129326
19,outjo,-20.1167,-20.1167,66.79,66.79,58,8.03,NA,1694129327
20,yellowknife,62.456,62.456,58.41,57.56,0,15.01,CA,1694129095
21,susanville,40.4163,40.4163,81.82,75.13,0,16.11,US,1694129313
22,lebu,-37.6167,-37.6167,50.14,50.14,98,5.19,CL,1694129184
23,ginir,7.1333,7.1333,60.57,60.57,86,3.51,ET,1694129330
24,hasaki,35.7333,35.7333,70.3,68.4,100,24.02,JP,1694129330
25,abalak,58.1286,58.1286,46.33,46.33,21,1.68,RU,1694129331
26,banda aceh,5.5577,5.5577,78.33,78.33,100,7.25,ID,1694129331
27,stanley,54.868,54.868,57.79,55.51,100,1.23,GB,1694129332
28,waitangi,-43.9535,-43.9535,54.82,54.82,48,4.0,NZ,1694129332
29,puerto natales,-51.7236,-51.7236,35.96,35.96,99,1.32,CL,1694129076
30,byford,-32.2167,-32.2167,53.71,49.87,100,5.75,AU,1694129333
31,blackmans bay,-43.0167,-43.0167,55.53,54.7,12,8.72,AU,1694129333
32,sao tome,0.3365,0.3365,76.62,76.62,56,10.16,ST,1694129334
33,porto novo,6.4965,6.4965,78.62,78.62,47,7.23,BJ,1694129335
34,papatowai,-46.5619,-46.5619,58.21,58.21,43,4.79,NZ,1694129336
35,grytviken,-54.2811,-54.2811,27.05,27.05,61,15.41,GS,1694129188
36,mary,37.0,37.0,78.71,78.71,0,7.67,TM,1694129337
37,chui,-33.6971,-33.6971,57.79,57.79,100,16.51,UY,1694129337
38,usinsk,65.9939,65.9939,56.55,56.55,96,6.58,RU,1694129338
39,bel ombre,-4.6167,-4.6167,80.44,80.44,40,11.5,SC,1694129338
40,aasiaat,68.7098,68.7098,36.1,36.1,100,18.59,GL,1694129339
41,chenaran,36.6455,36.6455,68.25,68.25,0,1.23,IR,1694129339
42,harper,4.375,4.375,76.12,76.12,56,7.23,LR,1694129340
43,conduaga,8.862,8.862,78.66,78.66,75,3.42,PH,1694129340
44,longyearbyen,78.2186,78.2186,39.04,39.04,75,3.44,SJ,1694129341
45,villa gesell,-37.2639,-37.2639,54.05,54.05,100,8.77,AR,1694129341
46,nadym,65.5333,65.5333,43.72,43.72,9,1.95,RU,1694129342
47,banamba,13.55,13.55,78.66,78.66,39,4.54,ML,1694129342
48,sorong,-0.8833,-0.8833,79.02,79.02,100,12.26,ID,1694129344
49,wotho,10.1657,10.1657,83.46,83.46,97,9.4,MH,1694129344
50,santa cruz,-17.8,-17.8,86.05,83.66,75,13.8,BO,1694129345
